Attrition,BusinessTravel,DailyRate,DistanceFromHome,EducationField,EmployeeID,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,TenureGroupID,SalaryBandID
No,Travel_Frequently,1115,1,Life Sciences,141,Low,3,Research Director,Medium,Married,18172,Yes,0,1,8,3,4
Yes,Travel_Rarely,240,5,Marketing,142,High,2,Sales Executive,High,Single,5744,Yes,0,1,6,3,3
No,Travel_Rarely,1280,7,Medical,143,Very High,2,Research Scientist,Very High,Married,2889,No,2,2,2,1,1
No,Travel_Rarely,534,15,Medical,144,Medium,3,Laboratory Technician,Very High,Single,2871,No,0,5,0,1,1
No,Travel_Frequently,1456,1,Medical,145,Low,2,Healthcare Representative,Low,Single,7484,No,0,1,13,4,3
Yes,Travel_Frequently,658,7,Life Sciences,147,Low,1,Laboratory Technician,High,Single,6074,Yes,0,3,9,3,3
No,Non-Travel,142,26,Human Resources,148,Very High,4,Manager,Very High,Single,17328,Yes,0,3,5,2,4
No,Travel_Rarely,1127,18,Life Sciences,150,Medium,3,Laboratory Technician,High,Married,2774,No,1,2,5,2,1
No,Travel_Rarely,1031,6,Life Sciences,151,High,2,Research Scientist,Medium,Divorced,4505,No,1,3,1,1,2
No,Travel_Rarely,1189,3,Life Sciences,152,High,3,Sales Executive,Very High,Single,7428,No,0,3,5,2,3
No,Travel_Rarely,1354,5,Medical,153,High,2,Manager,Low,Single,11631,No,0,6,11,4,4
No,Travel_Frequently,1467,11,Technical Degree,154,Medium,3,Sales Executive,Very High,Married,9738,No,1,6,9,3,4
No,Travel_Rarely,922,3,Life Sciences,155,Low,3,Laboratory Technician,Very High,Divorced,2835,No,1,2,1,1,1
No,Travel_Frequently,394,26,Life Sciences,158,High,3,Manager,Very High,Married,16959,Yes,2,3,25,4,4
No,Travel_Frequently,1312,23,Life Sciences,159,Low,1,Research Scientist,High,Divorced,2613,No,3,2,10,3,1
No,Non-Travel,750,22,Marketing,160,High,3,Sales Executive,Medium,Married,6146,No,1,2,7,3,3
Yes,Travel_Rarely,441,14,Life Sciences,161,Medium,3,Research Scientist,Medium,Married,4963,Yes,3,2,5,2,3
No,Travel_Rarely,684,6,Life Sciences,162,Low,3,Research Director,High,Single,19537,No,0,5,20,4,4
Yes,Travel_Rarely,249,6,Life Sciences,163,Medium,1,Sales Executive,High,Married,6172,Yes,0,3,7,3,3
No,Travel_Rarely,841,6,Other,164,High,2,Research Scientist,Medium,Married,2368,No,0,3,5,2,1
Yes,Travel_Rarely,147,23,Medical,165,Very High,3,Healthcare Representative,Very High,Married,10312,No,1,3,40,4,4
Yes,Travel_Rarely,528,22,Marketing,167,Very High,3,Sales Representative,High,Single,1675,Yes,0,2,0,1,1
No,Travel_Rarely,594,2,Technical Degree,169,High,3,Laboratory Technician,Very High,Married,2523,No,1,2,2,1,1
No,Travel_Rarely,470,20,Medical,170,High,3,Manufacturing Director,Low,Married,6567,No,0,2,15,4,3
No,Travel_Frequently,957,28,Medical,171,Medium,4,Research Scientist,High,Single,4739,No,0,2,3,2,2
No,Travel_Frequently,809,12,Marketing,174,High,3,Sales Executive,Very High,Single,9208,No,0,3,2,1,4
Yes,Travel_Rarely,542,20,Life Sciences,175,Medium,1,Sales Executive,High,Married,4559,Yes,1,2,2,1,2
No,Travel_Rarely,802,9,Life Sciences,176,High,3,Sales Executive,High,Divorced,8189,Yes,1,2,9,3,3
No,Travel_Rarely,1355,25,Life Sciences,177,High,3,Human Resources,High,Married,2942,No,1,3,8,3,2
No,Travel_Rarely,216,6,Medical,178,Medium,3,Manufacturing Director,Medium,Divorced,4941,No,2,0,3,2,3
Yes,Travel_Frequently,1150,8,Life Sciences,179,Low,1,Manufacturing Director,Very High,Single,10650,No,0,2,4,2,4
No,Travel_Rarely,1329,4,Life Sciences,182,Very High,2,Sales Executive,High,Married,5902,No,1,1,15,4,3
No,Travel_Rarely,959,28,Life Sciences,183,Low,2,Sales Executive,High,Married,8639,No,0,3,2,1,4
No,Travel_Rarely,1240,9,Human Resources,184,High,3,Human Resources,Very High,Married,6347,Yes,0,2,11,4,3
Yes,Travel_Rarely,1033,9,Medical,190,Low,3,Laboratory Technician,Low,Single,4200,No,0,2,5,2,2
No,Travel_Rarely,1316,29,Medical,192,High,3,Research Scientist,Very High,Single,3452,No,0,2,6,3,2
No,Travel_Rarely,364,3,Technical Degree,193,Very High,3,Research Scientist,High,Single,4317,Yes,0,2,3,2,2
No,Travel_Rarely,438,18,Life Sciences,194,Low,3,Research Scientist,High,Single,2632,No,0,4,5,2,1
No,Travel_Frequently,689,9,Medical,195,Very High,1,Sales Executive,Very High,Divorced,4668,No,3,2,8,3,2
No,Travel_Rarely,201,5,Technical Degree,197,Very High,3,Research Scientist,Low,Divorced,3204,No,1,3,3,2,2
No,Travel_Rarely,1427,2,Medical,198,Medium,2,Laboratory Technician,Very High,Single,2720,No,0,3,5,2,1
No,Travel_Frequently,857,10,Life Sciences,199,Very High,2,Manager,Low,Divorced,17181,No,1,2,7,3,4
No,Travel_Rarely,933,9,Life Sciences,200,High,3,Laboratory Technician,Low,Married,2238,No,1,2,5,2,1
No,Travel_Rarely,1181,3,Medical,201,Medium,3,Laboratory Technician,Medium,Single,1483,No,0,3,1,1,1
No,Travel_Frequently,1395,26,Medical,202,Medium,3,Research Scientist,Medium,Divorced,5605,No,1,2,20,4,3
No,Travel_Rarely,662,1,Marketing,204,High,3,Sales Executive,Medium,Married,7295,No,2,3,10,3,3
No,Travel_Rarely,1436,6,Marketing,205,Medium,3,Sales Representative,High,Married,2306,Yes,1,3,7,3,1
No,Travel_Rarely,194,9,Life Sciences,206,Medium,3,Laboratory Technician,Medium,Divorced,2348,No,1,2,17,4,1
No,Travel_Frequently,967,8,Marketing,207,Medium,3,Sales Executive,Very High,Single,8998,No,0,2,9,3,4
No,Non-Travel,1496,1,Technical Degree,208,Very High,3,Manufacturing Director,High,Married,4319,No,1,1,10,3,2
No,Travel_Rarely,1169,7,Medical,211,Medium,2,Manufacturing Director,High,Married,6132,No,0,2,1,1,3
No,Travel_Rarely,1145,9,Medical,214,Medium,2,Research Scientist,Medium,Married,3346,Yes,1,3,1,1,2
No,Travel_Rarely,630,4,Marketing,215,High,2,Sales Executive,Very High,Married,10855,No,1,2,12,4,4
No,Travel_Frequently,303,2,Marketing,216,High,3,Sales Representative,High,Married,2231,No,1,3,4,2,1
No,Travel_Rarely,1256,19,Medical,217,High,3,Research Scientist,Very High,Married,2323,No,2,6,2,1,1
No,Non-Travel,691,9,Medical,218,Very High,3,Research Scientist,Medium,Divorced,2024,No,1,1,2,1,1
No,Travel_Rarely,440,21,Medical,221,High,3,Research Scientist,Very High,Married,2713,No,1,2,5,2,1
No,Travel_Rarely,334,24,Life Sciences,223,High,4,Healthcare Representative,Very High,Divorced,9439,Yes,1,2,5,2,4
No,Non-Travel,1450,3,Medical,224,High,2,Research Scientist,High,Divorced,2566,Yes,1,2,1,1,1
No,Travel_Rarely,1452,11,Life Sciences,226,High,3,Manager,Medium,Single,19926,No,0,5,5,2,4
No,Travel_Rarely,465,14,Life Sciences,227,Low,3,Research Scientist,High,Divorced,2451,No,1,2,9,3,1
No,Travel_Rarely,1339,5,Life Sciences,228,Medium,3,Sales Executive,Very High,Married,9419,No,1,2,10,3,4
No,Travel_Rarely,702,1,Life Sciences,230,Low,2,Sales Executive,Very High,Single,8686,No,0,2,8,3,4
No,Travel_Rarely,120,6,Life Sciences,231,High,3,Research Scientist,High,Single,3038,No,0,2,5,2,2
No,Travel_Rarely,1157,17,Technical Degree,233,High,3,Research Scientist,Medium,Married,3058,Yes,1,3,5,2,2
Yes,Travel_Frequently,602,1,Technical Degree,235,High,1,Sales Representative,Low,Single,2325,No,0,5,0,1,1
No,Travel_Frequently,1480,3,Medical,238,Very High,3,Laboratory Technician,Medium,Single,2088,No,0,3,8,3,1
No,Non-Travel,111,9,Medical,239,High,3,Laboratory Technician,Low,Divorced,3072,No,2,4,12,4,2
No,Travel_Rarely,1268,4,Life Sciences,240,High,3,Sales Executive,Low,Divorced,5006,Yes,1,3,5,2,3
No,Travel_Rarely,713,8,Life Sciences,241,High,3,Research Scientist,Low,Divorced,4257,Yes,1,3,2,1,2
No,Travel_Rarely,134,2,Life Sciences,242,High,3,Research Scientist,Very High,Single,2500,No,0,2,3,2,1
Yes,Travel_Rarely,303,2,Life Sciences,243,Medium,2,Laboratory Technician,Very High,Single,1102,No,0,3,1,1,1
No,Travel_Rarely,526,1,Marketing,244,Medium,3,Sales Executive,Low,Divorced,10453,No,3,2,24,4,4
No,Travel_Rarely,1380,9,Life Sciences,245,High,3,Laboratory Technician,Very High,Single,2288,No,0,3,2,1,1
No,Travel_Rarely,140,12,Medical,246,High,3,Research Scientist,Very High,Married,3929,Yes,1,0,4,2,2
No,Travel_Rarely,629,27,Medical,247,Very High,3,Research Scientist,Medium,Single,2311,No,0,3,3,2,1
Yes,Travel_Rarely,1356,20,Marketing,248,Medium,3,Sales Representative,Medium,Single,3140,Yes,0,5,4,2,2
No,Travel_Rarely,328,1,Medical,249,High,2,Laboratory Technician,High,Married,3690,No,1,2,3,2,2
No,Travel_Rarely,1084,13,Medical,250,Very High,4,Manufacturing Director,Low,Divorced,4450,No,2,3,4,2,2
No,Travel_Rarely,931,14,Medical,252,Very High,3,Research Scientist,Medium,Married,2756,No,1,5,8,3,1
No,Travel_Rarely,989,4,Medical,253,Very High,3,Manager,High,Married,19033,No,1,2,20,4,4
No,Travel_Rarely,692,14,Medical,254,High,4,Research Director,Medium,Single,18722,No,0,3,24,4,4
No,Travel_Frequently,1069,2,Life Sciences,256,Very High,2,Manufacturing Director,High,Married,9547,No,0,2,10,3,4
No,Travel_Rarely,313,3,Medical,258,Very High,3,Healthcare Representative,Medium,Single,13734,No,0,6,7,3,4
No,Travel_Rarely,699,1,Life Sciences,259,High,2,Manager,High,Married,19999,No,1,5,33,4,4
No,Travel_Rarely,894,9,Medical,260,Very High,3,Research Scientist,Medium,Single,2279,No,0,2,7,3,1
Yes,Travel_Rarely,556,23,Life Sciences,261,Medium,2,Manufacturing Director,High,Married,5916,Yes,0,1,1,1,3
No,Non-Travel,1344,7,Medical,262,Very High,4,Research Scientist,Very High,Divorced,2089,No,3,3,5,2,1
No,Non-Travel,1195,2,Medical,264,Low,2,Manager,Very High,Married,16792,No,1,1,20,4,4
No,Travel_Rarely,290,21,Life Sciences,267,Medium,4,Research Scientist,Low,Married,3564,Yes,1,3,8,3,2
No,Travel_Frequently,138,2,Medical,269,Medium,3,Laboratory Technician,Medium,Single,4425,No,0,5,6,3,2
No,Non-Travel,926,21,Medical,270,High,3,Manufacturing Director,High,Divorced,5265,No,1,5,5,2,3
No,Travel_Rarely,1261,2,Life Sciences,271,Very High,3,Manufacturing Director,High,Married,6553,No,0,3,1,1,3
No,Travel_Rarely,1084,29,Technical Degree,273,Very High,3,Manufacturing Director,Very High,Married,6261,No,1,3,7,3,3
No,Travel_Frequently,472,1,Technical Degree,274,High,2,Manufacturing Director,Low,Married,4298,No,1,1,2,1,2
No,Non-Travel,1002,18,Life Sciences,275,Very High,3,Manufacturing Director,Very High,Divorced,6804,Yes,2,0,7,3,3
No,Travel_Frequently,878,10,Medical,277,Very High,3,Research Scientist,High,Divorced,3815,Yes,1,4,5,2,2
No,Travel_Rarely,905,19,Medical,281,High,3,Laboratory Technician,Very High,Married,2741,Yes,1,2,7,3,1
Yes,Travel_Rarely,1180,29,Medical,282,Medium,3,Healthcare Representative,Low,Married,6673,Yes,0,2,1,1,3
Yes,Travel_Rarely,121,27,Marketing,283,Medium,3,Sales Executive,Very High,Married,7639,No,3,3,10,3,3
No,Travel_Rarely,1136,5,Life Sciences,284,Very High,4,Research Scientist,Medium,Divorced,2328,Yes,1,2,4,2,1
No,Travel_Frequently,635,18,Medical,286,Medium,3,Laboratory Technician,Very High,Single,2153,No,0,2,8,3,1
No,Non-Travel,1151,9,Life Sciences,287,Very High,2,Healthcare Representative,Very High,Married,4876,No,1,5,3,2,2
No,Travel_Rarely,644,1,Medical,288,Very High,3,Healthcare Representative,Low,Divorced,9396,No,1,3,4,2,4
Yes,Travel_Rarely,1045,4,Medical,291,Very High,1,Sales Executive,Very High,Married,10400,No,0,2,14,4,4
No,Non-Travel,829,1,Life Sciences,292,High,2,Manufacturing Director,High,Single,8474,No,0,2,11,4,4
No,Travel_Frequently,1242,20,Life Sciences,293,Very High,3,Sales Executive,High,Single,9981,No,0,2,7,3,4
No,Travel_Rarely,1469,8,Life Sciences,296,Medium,2,Research Director,Medium,Married,12490,No,2,5,10,3,4
Yes,Travel_Rarely,1005,3,Technical Degree,297,Very High,3,Research Scientist,Low,Single,2657,Yes,0,5,5,2,1
No,Travel_Rarely,896,6,Life Sciences,298,Very High,3,Manager,Very High,Single,13591,Yes,0,3,1,1,4
Yes,Travel_Frequently,334,26,Marketing,299,High,2,Sales Executive,Low,Single,6696,No,0,5,6,3,3
Yes,Travel_Rarely,992,1,Technical Degree,300,High,3,Research Scientist,High,Single,2058,No,0,1,6,3,1
No,Non-Travel,1052,6,Medical,302,Very High,2,Sales Executive,Very High,Single,8865,No,0,2,19,4,4
No,Travel_Rarely,1147,3,Marketing,303,Very High,3,Sales Executive,Low,Married,5940,No,1,4,6,3,3
No,Travel_Rarely,1396,5,Life Sciences,304,Very High,3,Laboratory Technician,Medium,Single,5914,No,0,3,13,4,3
No,Travel_Rarely,147,4,Medical,305,High,2,Research Scientist,Medium,Married,2622,No,0,3,3,2,1
No,Travel_Frequently,663,11,Other,306,Medium,3,Research Director,Very High,Divorced,12185,Yes,3,1,10,3,4
No,Travel_Rarely,119,3,Life Sciences,307,Low,3,Sales Executive,High,Divorced,10609,No,2,6,16,4,4
No,Non-Travel,979,1,Medical,308,High,1,Manufacturing Director,High,Married,4345,No,1,2,5,2,2
No,Travel_Rarely,142,3,Life Sciences,309,High,2,Research Scientist,Very High,Married,2177,No,1,6,1,1,1
No,Travel_Frequently,319,4,Marketing,311,Low,3,Sales Representative,Very High,Divorced,2793,No,1,2,9,3,1
No,Travel_Frequently,1413,1,Medical,312,Medium,3,Sales Executive,Very High,Married,7918,No,1,5,11,4,3
No,Travel_Frequently,944,1,Marketing,314,High,3,Sales Executive,High,Single,8789,No,0,3,10,3,4
Yes,Travel_Rarely,896,18,Medical,315,High,2,Research Scientist,Very High,Single,2389,Yes,0,3,4,2,1
No,Travel_Rarely,1323,2,Life Sciences,316,High,2,Laboratory Technician,Very High,Single,3212,No,0,3,2,1,2
No,Travel_Rarely,532,4,Technical Degree,319,High,3,Manager,Very High,Married,19232,No,0,3,22,4,4
No,Travel_Rarely,818,6,Medical,321,Medium,3,Human Resources,High,Married,2267,No,0,2,2,1,1
No,Travel_Rarely,854,1,Medical,323,Very High,3,Manager,Very High,Divorced,19517,No,1,3,7,3,4
Yes,Travel_Rarely,813,14,Medical,325,High,3,Laboratory Technician,Very High,Married,2436,Yes,1,2,5,2,1
No,Travel_Rarely,1034,16,Marketing,327,Very High,3,Manager,Very High,Married,16064,Yes,1,3,17,4,4
